id;nome;preco
1;Coca-Cola Lata Original 350ML;3
2;Guaraná Kuat Lata 350ML;2.55
3;Coca-Cola Pet Original 600ML;4.3
4;Sprite Lata 350ML;1.88
5;Coca-Cola Lata Zero 350ML;3
6;Fanta Uva Lata 350ML;2.85
7;Schweppes Lata 350ML;2.88
8;Fanta Laranja Zero 350ML;2.85
9;Guaraná Kuat Pet 600ML;3.83
10;Coca-Cola Pet Zero 600ML;4.3
11;Fanta Guaraná Lata 350ML;2.75
12;Fanta Guaraná Zero Lata 350ML;2.75
13;Powerade Mix de Frutas 500ML;3.4
14;Coca-Cola Café Espresso Lata 220ML;1.88
15;Gin Tônica Schweppes Lata 310ML;5
16;Vodka & Citrus Premium Lata 310ML;5
